100654,www.aamu.edu/,Alabama A & M University,4900 Meridian Street,Normal,AL,35762,"Dr. Andrew Hugine, Jr.",2563725000,2563725030,636001109,100200,Madison County,www.aamu.edu/
100663,www.uab.edu,University of Alabama at Birmingham,Administration Bldg Suite 1070,Birmingham,AL,35294-0110,Ray L. Watts,2059344011,2059757114,636005396,105200,Jefferson County,www.uab.edu
100690,www.amridgeuniversity.edu,Amridge University,1200 Taylor Rd,Montgomery,AL,36117-3553,Michael Turner,3.34E+13,3343873878,237034324,2503400,Montgomery County,www.amridgeuniversity.edu
100706,www.uah.edu,University of Alabama in Huntsville,301 Sparkman Dr,Huntsville,AL,35899,Robert A. Altenkirch,2568246120, ,630520830,105500,Madison County,www.uah.edu
100724,www.alasu.edu/email/index.aspx,Alabama State University,915 S Jackson Street,Montgomery,AL,36104-0271,Gwen Boyd,3342294400,3348346861,636001101,100500,Montgomery County,www.alasu.edu/email/index.aspx
100733,www.uasystem.ua.edu,University of Alabama System Office,401 Queen City Ave,Tuscaloosa,AL,35401,Robert Witt,2053489731,2053485206,636001138,800400,Tuscaloosa County,www.uasystem.ua.edu
100751,www.ua.edu/,The University of Alabama,739 University Blvd,Tuscaloosa,AL,35487-0166,Dr. Judith L. Bonner,2053486010,2053487208,636001138,105100,Tuscaloosa County,www.ua.edu/
100760,www.cacc.edu,Central Alabama Community College,1675 Cherokee Rd,Alexander City,AL,35010,Susan Burrow,2562346346,2562340384,631022757,100700,Tallapoosa County,www.cacc.edu
100812,www.athens.edu,Athens State University,300 N Beaty St,Athens,AL,35611,Robert Glenn,2562338100, ,630701340,100800,Limestone County,www.athens.edu
100830,www.aum.edu,Auburn University at Montgomery,7440 East Drive,Montgomery,AL,36117-3596,John G. Veres III,3342443000,3342443920,636000724,831000,Montgomery County,www.aum.edu
100858,www.auburn.edu,Auburn University,"Auburn, Alabama",Auburn University,AL,36849,Jay Gogue,3348444000, ,636000724,100900,Lee County,www.auburn.edu
100937,www.bsc.edu/,Birmingham Southern College,900 Arkadelphia Road,Birmingham,AL,35254,General Charles Krulak,2052264600,2052263069,630708730,101200,Jefferson County,www.bsc.edu/
101028,www.cv.edu,Chattahoochee Valley Community College,2602 College Drive,Phenix City,AL,36869,Dr. Glen Cannon,3342914900,3342144834,630657380,1218200,Russell County,www.cv.edu
101073,www.ccal.edu/,Concordia College Alabama,1712 Broad Street,Selma,AL,36701,Dr. Tilahun M.Mendedo,3348745700,3348745755,630389941,1055400,Dallas County,www.ccal.edu/
101116,southuniversity.edu,South University-Montgomery,5355 Vaughn Rd,Montgomery,AL,36116,Victor Biebighauser,3343958800, ,261569113,1303906,Montgomery County,southuniversity.edu
101143,www.escc.edu,Enterprise State Community College,600 Plaza Drive,Enterprise,AL,36330-1300,"Nancy Chandler, Ed.D.",3343472623,3343936223,630504851,101500,Coffee County,www.escc.edu
101161,www.faulknerstate.edu,James H Faulkner State Community College,1900 US Hwy 31 S,Bay Minette,AL,36507-2698,Gary Branch,2515802100,2515802253,630501805,106000,Baldwin County,www.faulknerstate.edu
101189,www.faulkner.edu,Faulkner University,5345 Atlanta Hwy,Montgomery,AL,36109-3378,Billy D Hilyer,3342725820,3343867244,630329409,100300,Montgomery County,www.faulkner.edu
101240,www.gadsdenstate.edu,Gadsden State Community College,1001 George Wallace Dr,Gadsden,AL,35903,Dr. William O. Blow,2565498200,2564396812,630501425,101700,Etowah County,www.gadsdenstate.edu
101277,www.nbccosmetology.com,New Beginning College of Cosmetology,421 Martling Road,Albertville,AL,35951,KELLY BALL,2568786430, ,202711032,4187200,Marshall County,www.nbccosmetology.com
101286,www.wallace.edu,George C Wallace State Community College-Dothan,1141 Wallace Drive,Dothan,AL,36303-9234,Linda C Young,3349833521,3346870255,630507618,101800,Dale County,www.wallace.edu
101295,www.wallacestate.edu,George C Wallace State Community College-Hanceville,801 Main St NW,Hanceville,AL,35077-2000,Vicki Hawsey,2563528000,2563528228,630498828,787100,Cullman County,www.wallacestate.edu
101301,www.wccs.edu,George C Wallace State Community College-Selma,3000 Earl Goodwin Parkway,Selma,AL,36703-2808,Dr. James M. Mitchell,3348769227,3348769300,630600375,569900,Dallas County,www.wccs.edu
101365,www.herzing.edu/birmingham,Herzing University-Birmingham,280 West Valley Ave,Birmingham,AL,35209,Tommy Dennis,2059162800,2059162807,391040865,962107,Jefferson County,www.herzing.edu/birmingham
101435,www.huntingdon.edu,Huntingdon College,1500 East Fairview Avenue,Montgomery,AL,36106-2148,J. Cameron West,3348334222,3348334347,630288841,101900,Montgomery County,www.huntingdon.edu
101453,www.hcu.edu,Heritage Christian University,3625 Helton Dr,Florence,AL,35630-9977,Dennis Jones,2567666610,2567600981,237013287,2199700,Lauderdale County,www.hcu.edu
101462,www.drakestate.edu,J F Drake State Community and Technical College,3421 Meridian St N,Huntsville,AL,35811,Helen T. McAlpine Ed.D.,2565398161,2565513142,631002142,526000,Madison County,www.drakestate.edu
101471,www.istc.edu,J F Ingram State Technical College,5375 Ingram Rd,Deatsville,AL,36022,Hank Dasinger,3.34E+13,3345144050,630506768,3002500,Elmore County,www.istc.edu
101480,www.jsu.edu/,Jacksonville State University,700 Pelham Road North,Jacksonville,AL,36265,William Meehan,2567825781,2567828146,636001099,102000,Calhoun County,www.jsu.edu/
101499,www.jdcc.edu,Jefferson Davis Community College,220 Alco Dr,Brewton,AL,36426,Dr. Daniel A. Bain,2518674832,2518091548,630502384,102100,Escambia County,www.jdcc.edu
101505,www.jeffstateonline.com,Jefferson State Community College,2601 Carson Rd,Birmingham,AL,35215-3098,Dr. Judy Merritt,2058531200,2058567928,630501357,102200,Jefferson County,www.jeffstateonline.com
101514,www.calhoun.edu,John C Calhoun State Community College,6250 U S Highway 31 N,Tanner,AL,35671,Dr. Marilyn C. Beck,2563062500,2563062877,630505871,101300,Limestone County,www.calhoun.edu
101541,www.judson.edu,Judson College,302 Bibb St,Marion,AL,36756,David E Potts,3346835100,3346835147,630288850,102300,Perry County,www.judson.edu
101569,www.lawsonstate.edu,Lawson State Community College-Birmingham Campus,3060 Wilson Rd SW,Birmingham,AL,35221-1717,Perry W Ward,2059252515,2059231649,630641064,105900,Jefferson County,www.lawsonstate.edu
101587,www.uwa.edu,University of West Alabama,Station One,Livingston,AL,35470,Dr. Richard Holland,2056523400,2056523708,636001100,102400,Sumter County,www.uwa.edu
101602,www.lbwcc.edu,Lurleen B Wallace Community College,1000 Dannelly Blvd.,Andalusia,AL,36420-1418,"Herbert H. J. Riedel, Ph.D.",3342226591,3348812300,630576487,898800,Covington County,www.lbwcc.edu
101648,www.marionmilitary.edu,Marion Military Institute,1101 Washington St,Marion,AL,36756-3207,Col David J. Mollahan,8006641842,3346832383,630288853,102600,Perry County,www.marionmilitary.edu
101675,www.miles.edu,Miles College,5500 Myron Massey Blvd,Fairfield,AL,35064-2621,"George T. French, Jr.",2.06E+13,2059291426,630400608,102800,Jefferson County,www.miles.edu
101693,www.umobile.edu,University of Mobile,5735 College Parkway Drive,Mobile,AL,36613-2842,Mark Foley,2516755990,2514422523,630417508,102900,Mobile County,www.umobile.edu
101709,www.montevallo.edu,University of Montevallo,Station 6001,Montevallo,AL,35115-6000,John W. Stewart III,2056656155, ,636000720,100400,Shelby County,www.montevallo.edu
101736,www.nwscc.edu,Northwest-Shoals Community College,800 George Wallace Blvd,Muscle Shoals,AL,35661,Humphrey Lee,2563315200,2563315222,630513822,569700,Colbert County,www.nwscc.edu
101879,www.una.edu,University of North Alabama,One Harrison Plaza,Florence,AL,35632-0001,"Wm. G. Cale, Jr.",2567654100,2567654960,636000893,101600,Lauderdale County,www.una.edu
101897,www.nacc.edu,Northeast Alabama Community College,138  Highway 35,Rainsville,AL,35986,J. David Campbell,2.06E+13,2562286861,630504999,103100,Jackson County,www.nacc.edu
101912,www.oakwood.edu,Oakwood University,7000 Adventist Blvd NW,Huntsville,AL,35896,Leslie Pollard,2567267000, ,630366652,103300,Madison County,www.oakwood.edu
101949,www.ascc.edu,Alabama Southern Community College,2800 South Alabama Avenue,Monroeville,AL,36460,Reginald Sykes,2.52E+13,2515755356,630503016,103400,Monroe County,www.ascc.edu
101958,princeinstitute.edu,Prince Institute-Southeast,7735 Atlanta Hwy,Montgomery,AL,36117,Dr. Keith Werosh,3342711670,3342711671,364143020,2296000,Montgomery County,princeinstitute.edu
